Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 5, 'threshold': 0.5}",0.11288000430062192,-0.004683440479668783,0.44749963283934086,2.3746047019958496,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 5, 'threshold': 1.0}",0.08069202448152897,-0.0028303708530198566,0.5557097960606416,1.0312633514404297,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 6, 'threshold': 0.1}",0.14488004255338538,0.06247709818869247,0.3253608316691514,4.376098871231079,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 6, 'threshold': 0.5}",0.07664907321787662,-0.004559525574805091,0.41194222152941007,1.6904239654541016,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 6, 'threshold': 1.0}",0.05862773750632634,-0.0028303662647218802,0.5555104575136285,1.00825834274292,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 7, 'threshold': 0.1}",0.13570407058198053,0.0626198601153523,0.32843776160698346,4.38510799407959,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 7, 'threshold': 0.5}",0.09328228073742699,-0.004567791894377979,0.41166092211218036,1.7644422054290771,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 50, 'n_clusters': 7, 'threshold': 1.0}",0.027324809444403835,-0.0028450761085957958,0.544433734397172,2.841256856918335,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 3, 'threshold': 0.1}",0.07134517550171182,0.018128385935069425,0.44938554163253575,7.660706996917725,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 3, 'threshold': 0.5}",0.058396373309092454,-0.0021217158519735344,0.5063994256209863,1.334338903427124,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 3, 'threshold': 1.0}",0.05916016037069457,-0.0025630241800745773,0.6083653726986803,0.9742438793182373,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 4, 'threshold': 0.1}",0.08249838643513142,0.033130511758644454,0.4399273014835952,4.4691321849823,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 4, 'threshold': 0.5}",0.06472649773540781,-0.0019336688917418264,0.4809701640886148,1.1762936115264893,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 4, 'threshold': 1.0}",0.07651670662531991,-0.0025679797786265822,0.6082677146361469,1.8074469566345215,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 5, 'threshold': 0.1}",0.08342269130142058,0.03413969044318849,0.44295292093094935,3.9489996433258057,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 5, 'threshold': 0.5}",0.10386305242633917,0.02223190445875512,0.45503200233446,1.8914856910705566,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 5, 'threshold': 1.0}",0.08069202448152897,-0.0028303708530198566,0.5557097960606416,0.9782447814941406,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 6, 'threshold': 0.1}",0.055333196633854165,0.03286996272933864,0.4422966698928542,4.464132070541382,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 6, 'threshold': 0.5}",0.10377973759543077,0.022183682873736326,0.45497986303302546,1.119283676147461,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 6, 'threshold': 1.0}",0.05862773750632634,-0.0028303662647218802,0.5555104575136285,1.4443676471710205,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 7, 'threshold': 0.1}",0.08421972086204957,0.08146976556361202,0.3389799378365681,5.0728349685668945,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 7, 'threshold': 0.5}",0.12170604912944687,0.021603158649287992,0.4524632903402062,2.099534511566162,clustering_results_gas-drift-different-concentrations
Birch,"{'branching_factor': 100, 'n_clusters': 7, 'threshold': 1.0}",0.027324809444403835,-0.0028450761085957958,0.544433734397172,1.5003817081451416,clustering_results_gas-drift-different-concentrations
Ward,"{'affinity': 'euclidean', 'linkage': 'ward', 'n_clusters': 3}",0.12482339243248337,0.013877708216905,0.45677130645335384,94.2068862915039,clustering_results_gas-drift-different-concentrations
Ward,"{'affinity': 'euclidean', 'linkage': 'ward', 'n_clusters': 4}",0.14824166664000135,0.049407862768052924,0.24670910457295187,97.88526129722595,clustering_results_gas-drift-different-concentrations
Ward,"{'affinity': 'euclidean', 'linkage': 'ward', 'n_clusters': 5}",0.15849490895233265,0.08323217381599625,0.2692739365328019,89.27814602851868,clustering_results_gas-drift-different-concentrations
Ward,"{'affinity': 'euclidean', 'linkage': 'ward', 'n_clusters': 6}",0.15449520463768635,0.07060018690396204,0.26569499439115274,88.86154627799988,clustering_results_gas-drift-different-concentrations
Ward,"{'affinity': 'euclidean', 'linkage': 'ward', 'n_clusters': 7}",0.2799844207949572,0.07607278968254506,0.27085842369853064,91.22393321990967,clustering_results_gas-drift-different-concentrations
